transaction_id,book_title,category,user_id,issue_date,return_date,fine_amount
43,Operating Systems,Data Science,43,2025-03-08,2025-03-18,0
44,Machine Learning,Tech,53,2025-01-11,2025-01-30,90
45,Operating Systems,Programming,197,2025-01-26,2025-01-29,0
46,AI Basics,AI,29,2025-01-29,2025-02-05,0
47,AI Basics,Data Science,156,2025-01-20,2025-01-30,0
48,DBMS,Data Science,91,2025-03-24,2025-04-04,10
49,Operating Systems,Programming,144,2025-04-01,2025-04-09,0
50,AI Basics,Programming,87,2025-02-08,2025-02-23,50
51,DSA,AI,179,2025-02-02,2025-02-14,20
52,Python,AI,178,2025-03-25,2025-04-02,0
53,DBMS,Tech,183,2025-02-02,2025-02-21,90
54,DSA,Programming,65,2025-02-07,2025-02-10,0
55,Python,Data Science,92,2025-03-28,2025-04-11,40
56,DBMS,Tech,163,2025-02-07,2025-02-09,0
57,DBMS,Tech,157,2025-03-22,2025-04-08,70
58,DSA,Programming,99,2025-02-09,2025-02-11,0
59,DSA,Tech,65,2025-02-06,2025-02-17,10
60,Operating Systems,Programming,87,2025-03-13,2025-04-01,90
61,Machine Learning,Programming,94,2025-03-12,2025-03-14,0
62,Operating Systems,AI,17,2025-02-28,2025-03-18,80
63,DSA,Data Science,41,2025-03-06,2025-03-07,0
64,AI Basics,Tech,10,2025-01-22,2025-01-24,0
65,Python,AI,196,2025-02-23,2025-02-26,0
66,Operating Systems,Programming,44,2025-01-29,2025-02-16,80
67,Operating Systems,AI,2,2025-03-09,2025-03-15,0
68,Machine Learning,Programming,65,2025-01-24,2025-01-25,0
69,DSA,Programming,69,2025-01-27,2025-01-30,0
70,DBMS,Programming,137,2025-03-28,2025-04-14,70
71,Python,Programming,14,2025-03-12,2025-03-20,0
72,DSA,AI,198,2025-03-19,2025-04-06,80
73,AI Basics,Tech,21,2025-02-13,2025-02-24,10
74,Operating Systems,Tech,165,2025-03-25,2025-04-05,10
75,Operating Systems,Programming,101,2025-01-20,2025-01-25,0
76,Python,Tech,191,2025-03-16,2025-03-26,0
77,DBMS,Programming,33,2025-01-16,2025-01-31,50
78,Python,Tech,33,2025-02-26,2025-03-17,90
79,DBMS,AI,188,2025-01-15,2025-02-04,100
80,Python,Data Science,168,2025-01-26,2025-02-15,100
81,DBMS,Programming,108,2025-01-19,2025-02-04,60
82,AI Basics,Programming,73,2025-01-19,2025-01-22,0
83,AI Basics,Data Science,103,2025-01-12,2025-01-14,0
84,Operating Systems,Programming,87,2025-02-07,2025-02-14,0
85,DBMS,AI,39,2025-03-19,2025-03-28,0
86,Python,Tech,47,2025-02-07,2025-02-13,0
87,DSA,Data Science,174,2025-02-18,2025-03-03,30
88,Machine Learning,AI,41,2025-03-22,2025-04-05,40
89,Operating Systems,AI,169,2025-01-16,2025-01-23,0
90,DSA,Programming,36,2025-02-22,2025-03-13,90
91,Machine Learning,Data Science,178,2025-01-07,2025-01-26,90
92,Machine Learning,Data Science,61,2025-03-01,2025-03-11,0
93,DSA,Tech,166,2025-03-14,2025-03-17,0
94,Python,Data Science,174,2025-02-14,2025-02-27,30
95,Python,AI,139,2025-01-22,2025-02-03,20
96,DSA,Programming,8,2025-01-25,2025-02-01,0
97,Python,Programming,75,2025-01-26,2025-02-09,40
98,Machine Learning,Tech,160,2025-02-25,2025-03-15,80
99,Machine Learning,Data Science,122,2025-02-28,2025-03-20,100
100,Python,Tech,11,2025-02-16,2025-03-04,60
101,Python,AI,35,2025-02-18,2025-02-25,0
102,DSA,Tech,55,2025-01-08,2025-01-09,0
103,DBMS,Tech,172,2025-01-17,2025-01-20,0
104,AI Basics,AI,17,2025-03-17,2025-04-03,70
105,AI Basics,Data Science,157,2025-01-05,2025-01-09,0
106,AI Basics,AI,144,2025-01-06,2025-01-09,0
107,DSA,Programming,167,2025-01-29,2025-02-11,30
108,AI Basics,Programming,18,2025-02-20,2025-02-24,0
109,Python,Data Science,82,2025-03-15,2025-03-21,0
110,AI Basics,Tech,190,2025-01-26,2025-02-09,40
111,Operating Systems,AI,74,2025-03-18,2025-04-01,40
112,Machine Learning,Data Science,164,2025-02-22,2025-03-08,40
113,AI Basics,Tech,24,2025-02-23,2025-03-11,60
114,DSA,AI,146,2025-01-14,2025-01-22,0
115,Machine Learning,Tech,176,2025-02-11,2025-02-15,0
116,DSA,Programming,99,2025-02-09,2025-02-24,50
117,Python,Tech,25,2025-02-26,2025-03-15,70
118,Operating Systems,AI,87,2025-02-07,2025-02-17,0
119,DBMS,AI,86,2025-03-30,2025-04-06,0
120,Machine Learning,Programming,81,2025-02-14,2025-03-06,100
121,Python,Programming,41,2025-02-25,2025-03-16,90
122,DBMS,AI,98,2025-01-28,2025-02-13,60
123,Machine Learning,Programming,101,2025-01-31,2025-02-18,80
124,Python,Tech,147,2025-03-29,2025-04-01,0
125,DSA,Programming,184,2025-03-12,2025-04-01,100
126,Operating Systems,Programming,7,2025-03-03,2025-03-11,0
127,Operating Systems,AI,186,2025-02-21,2025-03-10,70
128,AI Basics,Tech,83,2025-03-21,2025-03-29,0
129,Operating Systems,Programming,63,2025-01-15,2025-01-27,20
130,AI Basics,Programming,23,2025-03-08,2025-03-11,0
131,DSA,AI,10,2025-03-19,2025-04-01,30
132,Python,Tech,29,2025-03-14,2025-04-02,90
133,Python,AI,96,2025-03-10,2025-03-25,50
134,AI Basics,AI,58,2025-01-08,2025-01-19,10
135,AI Basics,AI,151,2025-04-01,2025-04-17,60
136,DSA,Tech,154,2025-03-15,2025-03-30,50
137,AI Basics,AI,182,2025-01-12,2025-01-16,0
138,Operating Systems,Programming,27,2025-02-15,2025-03-05,80
139,DSA,Programming,88,2025-03-27,2025-04-03,0
140,AI Basics,Data Science,174,2025-03-11,2025-03-15,0
141,DSA,AI,167,2025-01-27,2025-01-29,0
142,DSA,Data Science,10,2025-03-16,2025-03-23,0
143,Operating Systems,Data Science,166,2025-03-02,2025-03-12,0
144,Machine Learning,Programming,175,2025-03-24,2025-04-09,60
145,DBMS,Tech,179,2025-01-03,2025-01-23,100
146,DBMS,Programming,177,2025-03-09,2025-03-25,60
147,Machine Learning,Programming,135,2025-02-01,2025-02-16,50
148,Python,AI,141,2025-03-20,2025-03-31,10
149,Python,Data Science,166,2025-01-27,2025-02-11,50
150,DSA,AI,194,2025-03-19,2025-03-20,0
151,DBMS,Data Science,161,2025-04-01,2025-04-11,0
152,Operating Systems,Tech,18,2025-02-26,2025-03-05,0
153,AI Basics,Tech,47,2025-01-13,2025-01-26,30
154,AI Basics,Tech,130,2025-02-26,2025-03-18,100
155,Machine Learning,Data Science,20,2025-02-07,2025-02-26,90
156,Operating Systems,Data Science,52,2025-02-21,2025-02-24,0
157,Machine Learning,Data Science,28,2025-03-30,2025-04-08,0
158,Python,Tech,126,2025-04-01,2025-04-04,0
159,DBMS,Tech,94,2025-03-27,2025-04-10,40
160,Machine Learning,Tech,37,2025-01-27,2025-02-03,0
161,AI Basics,Tech,146,2025-03-02,2025-03-07,0
162,DSA,Data Science,71,2025-01-15,2025-01-27,20
163,DSA,Programming,40,2025-02-03,2025-02-15,20
164,AI Basics,Programming,186,2025-02-23,2025-03-04,0
165,Python,Data Science,179,2025-02-13,2025-03-05,100
166,Machine Learning,Tech,107,2025-01-22,2025-02-04,30
167,Operating Systems,AI,65,2025-02-10,2025-02-15,0
168,Python,Tech,157,2025-03-03,2025-03-16,30
169,DSA,Tech,180,2025-02-13,2025-02-22,0
170,Operating Systems,Tech,54,2025-02-15,2025-02-17,0
171,Operating Systems,Data Science,135,2025-03-13,2025-03-30,70
172,Operating Systems,AI,96,2025-02-10,2025-02-24,40
173,Machine Learning,Programming,160,2025-01-17,2025-01-25,0
174,DSA,AI,33,2025-01-23,2025-01-25,0
175,AI Basics,AI,148,2025-03-08,2025-03-25,70
176,Python,Tech,48,2025-01-10,2025-01-27,70
177,DBMS,Data Science,135,2025-03-14,2025-03-16,0
178,AI Basics,AI,35,2025-01-28,2025-02-13,60
179,DBMS,AI,154,2025-02-13,2025-03-05,100
180,DSA,Programming,86,2025-01-07,2025-01-14,0
181,AI Basics,Data Science,178,2025-02-12,2025-02-16,0
182,DBMS,Tech,162,2025-02-05,2025-02-23,80
183,DBMS,Data Science,26,2025-01-07,2025-01-25,80
184,Operating Systems,AI,70,2025-03-07,2025-03-16,0
185,AI Basics,Data Science,178,2025-03-19,2025-04-05,70
186,Operating Systems,AI,101,2025-01-11,2025-01-28,70
187,AI Basics,Programming,104,2025-02-25,2025-03-12,50
188,Python,AI,86,2025-02-15,2025-03-03,60
189,DSA,Tech,112,2025-01-13,2025-01-27,40
190,Machine Learning,Programming,189,2025-03-13,2025-03-20,0
191,Python,Tech,159,2025-03-07,2025-03-13,0
192,DSA,Data Science,160,2025-02-06,2025-02-26,100
193,AI Basics,AI,84,2025-03-16,2025-04-04,90
194,Python,AI,130,2025-03-28,2025-04-15,80
195,Machine Learning,Programming,196,2025-02-17,2025-02-26,0
196,AI Basics,Tech,190,2025-03-31,2025-04-10,0
197,Python,AI,172,2025-03-07,2025-03-24,70
198,Python,Tech,99,2025-03-16,2025-03-28,20
199,Operating Systems,Data Science,131,2025-02-24,2025-03-08,20
200,Python,AI,128,2025-01-05,2025-01-09,0
201,DBMS,AI,113,2025-03-25,2025-03-30,0
202,Python,Programming,8,2025-02-02,2025-02-05,0
203,Python,AI,142,2025-03-04,2025-03-11,0
204,AI Basics,Tech,158,2025-02-12,2025-02-25,30
205,Operating Systems,Tech,102,2025-03-09,2025-03-16,0
206,Machine Learning,Programming,51,2025-01-21,2025-01-28,0
207,Python,Tech,20,2025-01-12,2025-01-30,80
208,AI Basics,Tech,99,2025-02-14,2025-02-17,0
209,DBMS,Data Science,196,2025-03-30,2025-04-17,80
210,DBMS,Data Science,84,2025-04-01,2025-04-18,70
211,DBMS,Data Science,158,2025-02-08,2025-02-23,50
212,DBMS,Programming,163,2025-02-15,2025-03-03,60
213,Operating Systems,Data Science,165,2025-03-26,2025-04-06,10
214,DSA,Programming,80,2025-02-26,2025-03-02,0
215,Operating Systems,AI,96,2025-01-26,2025-02-10,50
216,AI Basics,AI,23,2025-03-18,2025-03-27,0
217,Python,Data Science,38,2025-03-29,2025-04-05,0
218,Machine Learning,AI,17,2025-03-05,2025-03-13,0
219,DSA,AI,189,2025-01-17,2025-02-04,80
220,Machine Learning,Programming,134,2025-03-21,2025-04-06,60
221,Machine Learning,AI,119,2025-01-10,2025-01-12,0
222,Operating Systems,Data Science,114,2025-02-28,2025-03-07,0
223,AI Basics,Programming,64,2025-01-18,2025-01-22,0
224,Python,Tech,100,2025-03-01,2025-03-05,0
225,Operating Systems,AI,191,2025-01-22,2025-02-10,90
226,Python,Tech,191,2025-01-01,2025-01-10,0
227,AI Basics,Programming,97,2025-02-18,2025-03-04,40
228,DSA,Data Science,69,2025-02-26,2025-03-03,0
229,Python,Programming,8,2025-02-09,2025-02-22,30
230,DBMS,Data Science,159,2025-03-28,2025-04-05,0
231,AI Basics,Data Science,5,2025-01-15,2025-02-02,80
232,DSA,AI,116,2025-03-31,2025-04-09,0
233,Machine Learning,Programming,163,2025-03-20,2025-03-24,0
234,Machine Learning,Programming,146,2025-03-02,2025-03-20,80
235,DBMS,AI,20,2025-03-31,2025-04-12,20
236,Operating Systems,Tech,27,2025-02-02,2025-02-03,0
237,DBMS,Data Science,198,2025-02-07,2025-02-13,0
238,AI Basics,Programming,46,2025-01-02,2025-01-03,0
239,Operating Systems,Tech,61,2025-02-28,2025-03-04,0
240,DBMS,Tech,34,2025-02-24,2025-03-09,30
241,DBMS,Programming,15,2025-01-11,2025-01-18,0
242,Python,Programming,94,2025-03-13,2025-03-15,0
243,Machine Learning,Programming,50,2025-02-22,2025-03-05,10
244,DBMS,Programming,136,2025-01-19,2025-02-07,90
245,DSA,Data Science,102,2025-03-17,2025-03-18,0
246,Machine Learning,Tech,155,2025-02-08,2025-02-11,0
247,Machine Learning,Data Science,46,2025-01-17,2025-01-30,30
248,Python,Data Science,6,2025-02-24,2025-03-14,80
249,Operating Systems,AI,65,2025-02-17,2025-02-21,0
250,DBMS,Tech,16,2025-01-28,2025-02-03,0
251,DSA,Tech,101,2025-01-08,2025-01-22,40
252,AI Basics,Data Science,130,2025-03-10,2025-03-27,70
253,Operating Systems,Programming,11,2025-02-25,2025-03-15,80
254,DBMS,Programming,105,2025-01-08,2025-01-10,0
255,AI Basics,Programming,180,2025-03-18,2025-03-30,20
256,Python,Programming,116,2025-02-02,2025-02-17,50
257,Python,Programming,50,2025-01-08,2025-01-16,0
258,Machine Learning,Data Science,103,2025-02-24,2025-03-11,50
259,Python,Programming,169,2025-01-05,2025-01-15,0
260,DSA,Data Science,101,2025-03-16,2025-03-21,0
261,Python,Tech,115,2025-03-16,2025-03-29,30
262,DSA,Programming,189,2025-01-13,2025-01-14,0
263,DSA,Programming,82,2025-03-24,2025-04-11,80
264,Machine Learning,Data Science,152,2025-01-15,2025-01-16,0
265,DSA,Programming,90,2025-01-06,2025-01-23,70
266,Python,Tech,24,2025-02-25,2025-03-07,0
267,DSA,Data Science,154,2025-03-03,2025-03-16,30
268,AI Basics,Data Science,127,2025-01-07,2025-01-27,100
269,Operating Systems,Programming,193,2025-03-30,2025-04-14,50
270,Python,Programming,72,2025-03-02,2025-03-21,90
271,Machine Learning,AI,162,2025-03-11,2025-03-25,40
272,Python,AI,192,2025-01-18,2025-01-27,0
273,Operating Systems,Programming,78,2025-03-30,2025-04-18,90
274,AI Basics,Tech,44,2025-03-31,2025-04-19,90
275,Machine Learning,Data Science,69,2025-01-08,2025-01-18,0
276,Operating Systems,Tech,87,2025-02-16,2025-02-22,0
277,DSA,Programming,150,2025-03-30,2025-04-06,0
278,Operating Systems,Data Science,160,2025-01-04,2025-01-12,0
279,DSA,AI,17,2025-03-06,2025-03-26,100
280,Python,Tech,194,2025-01-27,2025-02-15,90
281,Operating Systems,AI,114,2025-02-23,2025-03-10,50
282,Machine Learning,Data Science,36,2025-02-19,2025-02-20,0
283,DBMS,Programming,163,2025-02-27,2025-03-01,0
284,AI Basics,Programming,12,2025-01-26,2025-02-05,0
285,Machine Learning,Data Science,88,2025-03-13,2025-03-24,10
286,AI Basics,Tech,60,2025-01-09,2025-01-14,0
287,Python,Programming,149,2025-01-14,2025-01-23,0
288,DBMS,Programming,27,2025-02-14,2025-02-23,0
289,Machine Learning,Tech,139,2025-01-26,2025-02-14,90
290,AI Basics,Data Science,199,2025-01-04,2025-01-13,0
291,DBMS,AI,66,2025-01-19,2025-01-26,0
292,Python,AI,23,2025-03-19,2025-03-28,0
293,DBMS,AI,198,2025-03-31,2025-04-14,40
294,DBMS,Programming,64,2025-02-13,2025-02-16,0
295,AI Basics,Data Science,154,2025-01-15,2025-01-17,0
296,AI Basics,Data Science,49,2025-03-31,2025-04-03,0
297,AI Basics,Data Science,176,2025-02-06,2025-02-22,60
298,AI Basics,Tech,103,2025-01-03,2025-01-09,0
299,Operating Systems,Programming,150,2025-03-09,2025-03-26,70
300,DSA,Data Science,91,2025-02-28,2025-03-09,0
301,DSA,Programming,78,2025-01-31,2025-02-04,0
302,AI Basics,Programming,49,2025-03-25,2025-03-29,0
303,Machine Learning,Data Science,191,2025-03-18,2025-04-07,100
304,Operating Systems,Programming,75,2025-01-17,2025-01-18,0
305,DBMS,Programming,120,2025-03-09,2025-03-25,60
306,Machine Learning,Tech,184,2025-02-14,2025-03-03,70
307,Python,AI,88,2025-02-13,2025-02-17,0
308,Python,Data Science,113,2025-01-05,2025-01-06,0
309,Python,Data Science,127,2025-01-31,2025-02-02,0
310,Operating Systems,Data Science,177,2025-02-25,2025-03-04,0
311,DSA,Data Science,49,2025-03-22,2025-04-01,0
312,Operating Systems,Tech,174,2025-01-06,2025-01-22,60
313,Operating Systems,Data Science,79,2025-03-15,2025-03-19,0
314,DSA,AI,176,2025-01-30,2025-02-13,40
315,Operating Systems,AI,157,2025-01-09,2025-01-11,0
316,DSA,Tech,105,2025-02-24,2025-03-09,30
317,DSA,Data Science,38,2025-03-11,2025-03-24,30
318,DSA,AI,124,2025-03-22,2025-04-04,30
319,Machine Learning,Tech,17,2025-03-03,2025-03-11,0
320,DSA,Data Science,192,2025-04-01,2025-04-16,50
321,DBMS,Data Science,28,2025-03-06,2025-03-10,0
322,DSA,Tech,146,2025-03-05,2025-03-13,0
323,AI Basics,Tech,2,2025-02-28,2025-03-12,20
324,Machine Learning,AI,194,2025-01-23,2025-02-02,0
325,Operating Systems,AI,148,2025-03-14,2025-03-16,0
326,Python,AI,82,2025-03-08,2025-03-16,0
327,AI Basics,Tech,149,2025-01-10,2025-01-19,0
328,Machine Learning,Data Science,5,2025-03-06,2025-03-14,0
329,Machine Learning,Data Science,166,2025-04-01,2025-04-08,0
330,Python,Data Science,9,2025-03-09,2025-03-26,70
331,Machine Learning,Programming,7,2025-01-09,2025-01-29,100
332,DSA,Data Science,81,2025-01-10,2025-01-24,40
333,AI Basics,Programming,15,2025-01-26,2025-01-28,0
334,Machine Learning,Data Science,84,2025-03-24,2025-03-27,0
335,DSA,Tech,151,2025-02-08,2025-02-27,90
336,AI Basics,Data Science,120,2025-01-27,2025-02-08,20
337,DSA,Data Science,113,2025-02-19,2025-03-01,0
338,DBMS,Programming,60,2025-03-03,2025-03-10,0
339,AI Basics,Tech,146,2025-01-02,2025-01-10,0
340,AI Basics,AI,116,2025-03-16,2025-03-21,0
341,Machine Learning,Programming,13,2025-02-04,2025-02-08,0
342,Machine Learning,Programming,194,2025-02-01,2025-02-14,30
343,DBMS,AI,15,2025-04-01,2025-04-21,100
344,DSA,Tech,124,2025-03-30,2025-04-15,60
345,DBMS,AI,87,2025-02-15,2025-02-27,20
346,Machine Learning,Data Science,135,2025-02-26,2025-03-13,50
347,AI Basics,Data Science,191,2025-03-09,2025-03-29,100
348,DBMS,Programming,166,2025-01-02,2025-01-08,0
349,Python,Data Science,35,2025-01-01,2025-01-08,0
350,Operating Systems,Tech,196,2025-02-16,2025-03-05,70
351,AI Basics,AI,133,2025-02-03,2025-02-22,90
352,AI Basics,Data Science,133,2025-03-20,2025-03-24,0
353,DBMS,Tech,22,2025-02-17,2025-03-08,90
354,Python,Data Science,36,2025-02-02,2025-02-13,10
355,AI Basics,AI,62,2025-01-04,2025-01-08,0
356,DBMS,Programming,149,2025-01-10,2025-01-11,0
357,DSA,Tech,164,2025-03-01,2025-03-05,0
358,Python,AI,141,2025-03-04,2025-03-18,40
359,DSA,Tech,118,2025-03-31,2025-04-08,0
360,Machine Learning,Programming,159,2025-01-18,2025-01-27,0
361,Python,Programming,4,2025-02-03,2025-02-17,40
362,AI Basics,Data Science,94,2025-02-08,2025-02-28,100
363,Operating Systems,Tech,112,2025-02-06,2025-02-19,30
364,Python,Tech,107,2025-04-01,2025-04-12,10
365,DSA,AI,59,2025-02-13,2025-02-18,0
366,Python,Tech,79,2025-01-18,2025-02-05,80
367,Operating Systems,AI,116,2025-03-30,2025-04-07,0
368,AI Basics,AI,94,2025-02-13,2025-02-27,40
369,Machine Learning,Tech,120,2025-01-26,2025-02-07,20
370,AI Basics,Data Science,71,2025-01-14,2025-01-17,0
371,Machine Learning,Data Science,164,2025-02-25,2025-03-17,100
372,AI Basics,Tech,111,2025-01-03,2025-01-05,0
373,DSA,Programming,14,2025-03-12,2025-03-25,30
374,DSA,Programming,35,2025-01-15,2025-01-22,0
375,Operating Systems,Data Science,95,2025-01-11,2025-01-28,70
376,Operating Systems,Data Science,102,2025-02-04,2025-02-16,20
377,DSA,Data Science,140,2025-01-14,2025-01-30,60
378,Machine Learning,Tech,197,2025-01-14,2025-01-15,0
379,AI Basics,Programming,128,2025-01-31,2025-02-03,0
380,DSA,Data Science,142,2025-02-03,2025-02-11,0
381,Python,AI,188,2025-03-13,2025-03-15,0
382,DSA,AI,70,2025-03-26,2025-04-15,100
383,Python,Programming,72,2025-01-25,2025-02-13,90
384,DBMS,Data Science,42,2025-03-16,2025-03-28,20
385,DBMS,Tech,26,2025-04-01,2025-04-04,0
386,DSA,AI,29,2025-03-02,2025-03-10,0
387,Python,AI,182,2025-01-13,2025-01-23,0
388,Machine Learning,AI,108,2025-03-21,2025-04-01,10
389,DSA,Data Science,139,2025-01-20,2025-02-06,70
390,Machine Learning,Data Science,51,2025-01-07,2025-01-22,50
391,DSA,Programming,93,2025-01-20,2025-01-21,0
392,Operating Systems,AI,90,2025-01-28,2025-01-29,0
393,Machine Learning,Programming,15,2025-02-02,2025-02-11,0
394,Operating Systems,AI,25,2025-02-20,2025-03-01,0
395,DSA,AI,180,2025-03-16,2025-03-25,0
396,Operating Systems,Programming,119,2025-03-31,2025-04-03,0
397,Operating Systems,AI,108,2025-03-08,2025-03-18,0
398,DBMS,Tech,134,2025-03-18,2025-03-22,0
399,DBMS,AI,123,2025-02-22,2025-03-05,10
400,Python,Programming,71,2025-02-10,2025-02-16,0
401,Operating Systems,Tech,7,2025-01-06,2025-01-11,0
402,DSA,AI,54,2025-02-17,2025-02-24,0
403,DSA,Data Science,80,2025-02-03,2025-02-19,60
404,Python,Programming,81,2025-03-16,2025-03-26,0
405,DSA,AI,74,2025-02-22,2025-02-27,0
406,Operating Systems,Programming,106,2025-03-12,2025-03-16,0
407,Operating Systems,Tech,89,2025-03-10,2025-03-19,0
408,Machine Learning,Data Science,69,2025-03-01,2025-03-14,30
409,DSA,Programming,60,2025-02-14,2025-02-23,0
410,AI Basics,Data Science,191,2025-01-04,2025-01-20,60
411,Machine Learning,Data Science,166,2025-02-08,2025-02-24,60
412,DBMS,Tech,119,2025-03-21,2025-03-22,0
413,Python,Data Science,116,2025-03-15,2025-03-29,40
414,DSA,AI,114,2025-01-31,2025-02-05,0
415,Machine Learning,AI,154,2025-02-05,2025-02-08,0
416,Operating Systems,AI,10,2025-01-06,2025-01-20,40
417,Machine Learning,Tech,105,2025-01-23,2025-01-28,0
418,Operating Systems,Programming,40,2025-02-15,2025-03-04,70
419,DBMS,AI,11,2025-01-04,2025-01-20,60
420,Python,Programming,99,2025-03-23,2025-03-27,0
421,AI Basics,Data Science,17,2025-01-24,2025-02-09,60
422,AI Basics,AI,33,2025-03-01,2025-03-12,10
423,DBMS,Programming,64,2025-03-31,2025-04-13,30
424,Machine Learning,Programming,156,2025-01-26,2025-01-30,0
425,AI Basics,Programming,23,2025-03-14,2025-03-29,50
426,DSA,Tech,20,2025-01-30,2025-02-07,0
427,AI Basics,AI,9,2025-03-18,2025-03-29,10
428,DBMS,AI,109,2025-03-22,2025-03-24,0
429,DSA,AI,41,2025-03-15,2025-03-21,0
430,Machine Learning,Data Science,93,2025-03-26,2025-04-04,0
431,DBMS,Data Science,155,2025-02-09,2025-02-18,0
432,AI Basics,AI,115,2025-02-28,2025-03-12,20
433,Operating Systems,AI,125,2025-03-26,2025-04-15,100
434,Python,Data Science,137,2025-01-23,2025-01-29,0
435,Python,Tech,50,2025-03-17,2025-03-31,40
436,DBMS,AI,175,2025-01-01,2025-01-13,20
437,Python,AI,200,2025-03-28,2025-04-10,30
438,Operating Systems,Tech,14,2025-03-05,2025-03-17,20
439,Python,Data Science,58,2025-01-31,2025-02-08,0
440,Machine Learning,Programming,104,2025-03-13,2025-03-21,0
441,Machine Learning,Tech,156,2025-01-16,2025-01-26,0
442,DSA,AI,164,2025-03-26,2025-03-30,0
443,Operating Systems,AI,170,2025-02-22,2025-03-03,0
444,DBMS,Programming,184,2025-03-02,2025-03-22,100
445,Machine Learning,AI,55,2025-01-08,2025-01-19,10
446,DSA,AI,144,2025-02-07,2025-02-19,20
447,DSA,Data Science,88,2025-03-18,2025-03-21,0
448,Operating Systems,Programming,92,2025-01-15,2025-01-16,0
449,AI Basics,AI,102,2025-03-20,2025-04-06,70
450,Operating Systems,AI,110,2025-02-09,2025-02-28,90
451,DSA,AI,25,2025-03-15,2025-03-28,30
452,AI Basics,Programming,158,2025-03-21,2025-03-30,0
453,Python,Data Science,152,2025-01-01,2025-01-11,0
454,Machine Learning,AI,95,2025-02-15,2025-02-25,0
455,AI Basics,AI,153,2025-01-11,2025-01-30,90
456,Python,Tech,51,2025-03-16,2025-03-18,0
457,AI Basics,Data Science,114,2025-02-19,2025-03-03,20
458,DBMS,AI,13,2025-02-24,2025-03-06,0
459,DBMS,Programming,179,2025-02-07,2025-02-19,20
460,Operating Systems,Data Science,149,2025-02-19,2025-02-28,0
461,Python,Programming,183,2025-03-25,2025-03-27,0
462,Python,Tech,91,2025-02-09,2025-02-28,90
463,Machine Learning,Programming,91,2025-02-20,2025-03-06,40
464,AI Basics,Programming,52,2025-03-24,2025-04-02,0
465,AI Basics,Programming,55,2025-02-19,2025-03-06,50
466,Machine Learning,Tech,5,2025-03-03,2025-03-23,100
467,Machine Learning,AI,137,2025-01-14,2025-01-25,10
468,Python,Data Science,69,2025-01-04,2025-01-07,0
469,Python,Tech,131,2025-01-31,2025-02-11,10
470,Machine Learning,Tech,130,2025-03-11,2025-03-12,0
471,Machine Learning,AI,148,2025-01-29,2025-02-05,0
472,DSA,Data Science,44,2025-03-28,2025-04-04,0
473,Operating Systems,Programming,175,2025-01-31,2025-02-01,0
474,AI Basics,AI,28,2025-02-06,2025-02-20,40
475,Operating Systems,AI,81,2025-01-25,2025-01-27,0
